sha_a	date_a	author_a	trailer_a	svn_rev_a	add_a	del_a	sha_b	date_b	author_b	trailer_b	svn_rev_b	add_b	del_b	pair_type	same_change	offset_days_b_minus_a	first_message_line
465e1d99f	2009-08-30T03:50:53Z	sirius-m	T	2	2	0	edffb50b9	2009-08-30T03:50:53Z	sirius-m	-		2	0	one-trailer	identical	0.00	Added changelog.txt
8dca7864f	2009-09-16T13:26:04Z	sirius-m	T	8	0	0	e00d4805d	2009-09-16T13:26:04Z	sirius-m	-		0	0	one-trailer	identical	0.00	No dll's here
dba0fd9b6	2009-09-24T04:09:56Z	sirius-m	T	10	3362	2445	d1b70ffa0	2009-09-24T04:09:56Z	sirius-m	-		3362	2445	one-trailer	identical	0.00	tray icon + ask before closing
6d97df0e9	2009-10-02T10:14:05Z	sirius-m	T	11	55	24	75aa0fbf7	2009-10-02T10:14:05Z	sirius-m	-		55	24	one-trailer	identical	0.00	startup shortcut works
429187c6a	2009-10-03T11:52:21Z	sirius-m	T	12	5	1	f01a4ca4e	2009-10-03T11:52:21Z	sirius-m	-		5	1	one-trailer	identical	0.00	Startup folder shortcut opens the program minimized. Restoring a minimized-to-tray window works correctly.
661f87800	2009-10-03T17:02:59Z	sirius-m	T	13	138	0	f13dff697	2009-10-03T17:02:59Z	sirius-m	-		138	0	one-trailer	identical	0.00	Added NSIS installer generation script
0cc05617d	2009-10-04T11:38:29Z	sirius-m	T	14	63	71	c199b8499	2009-10-04T11:38:29Z	sirius-m	-		63	71	one-trailer	identical	0.00	Fixed the installer script and made the autostart registry based.
99cef996c	2009-10-21T01:08:05Z	s_nakamoto	T	15	1898	1303	521099868	2009-10-21T01:08:05Z	s_nakamoto	-		1898	1303	one-trailer	identical	0.00	flush wallet.dat, multi-proc, reorg options, revert to startup folder shortcut
e39dfe8ea	2009-10-24T16:50:39Z	sirius-m	T	16	0	2	44e1254d1	2009-10-24T16:50:39Z	sirius-m	-		0	2	one-trailer	identical	0.00	Removed autorun regkey creation
fa2a0338d	2009-10-25T04:35:01Z	s_nakamoto	T	17	75	28	6ccefea62	2009-10-25T04:35:01Z	s_nakamoto	-		75	28	one-trailer	identical	0.00	fix display of new generated coins, fix assertion in bitcoinminer
dd519206a	2009-10-29T02:52:48Z	s_nakamoto	T	18	1209	339	cc0b4c3b6	2009-10-29T02:52:48Z	s_nakamoto	-		1209	339	one-trailer	identical	0.00	addr relaying fixes, proxy option and privacy patches, detect connect to self, non-final tx locktime changes, fix hide unconfirmed generated
dc73b326f	2009-10-29T05:55:56Z	s_nakamoto	T	19	35	22	fc0e97a70	2009-10-29T05:55:56Z	s_nakamoto	-		35	22	one-trailer	identical	0.00	CCriticalSection using wxWidgets instead of Windows OS calls
e8474beb6	2009-10-29T20:10:46Z	s_nakamoto	T	20	121	75	7be46ce48	2009-10-29T20:10:46Z	s_nakamoto	-		121	75	one-trailer	identical	0.00	better wallet.dat flush, consolidated QueryPerformanceCounter, PRI64d printf portability
a0c17c03e	2009-10-30T00:45:35Z	sirius-m	T	21	3	0	ae3ae3df7	2009-10-30T00:45:35Z	sirius-m	-		3	0	one-trailer	identical	0.00	setup script removes startup shortcut and runs with highest exec level
32d490313	2009-10-30T00:57:05Z	s_nakamoto	T	22	4	10	8938414f0	2009-10-30T00:57:05Z	s_nakamoto	-		4	10	one-trailer	identical	0.00	make CheckDiskSpace portable
fe9f3d626	2009-10-31T09:11:43Z	sirius-m	T	23	40	12	e874738d3	2009-10-31T09:11:43Z	sirius-m	-		40	12	one-trailer	identical	0.00	Linux alternatives for the Windows headers and PerformanceCounter. Some typedefs and #defines for the Linux build. Fixed GetDataDir.
5750932cd	2009-10-31T09:52:24Z	sirius-m	T	24	1	0	99142385d	2009-10-31T09:52:24Z	sirius-m	-		1	0	one-trailer	identical	0.00	added wx/stdpaths.h
4ac57f013	2009-11-01T01:16:51Z	s_nakamoto	T	25	416	382	e66ec79b1	2009-11-01T01:16:51Z	s_nakamoto	-		416	382	one-trailer	identical	0.00	move debug.log and db.log to data dir, portable GetDataDir, optimize GetBalance, fix repaint bogdown, -addnode and -? switches
b7362c07a	2009-11-04T04:58:46Z	s_nakamoto	T	28	91	0	f7d3cc0e5	2009-11-04T04:58:46Z	s_nakamoto	-		91	0	one-trailer	identical	0.00	renamed build.txt to build-msw.txt
